Country,Population,Land_Area,Pop_Density,Percent_World_Pop
China,1438207241,9388211,153.0,18.47
India,1377233523,2973190,464.0,17.70
United States,330610570,9147420,36.0,4.25
Indonesia,272931713,1811570,151.0,3.51
Pakistan,219992900,770880,287.0,2.83
Brazil,212253150,8358140,25.0,2.73
Nigeria,205052107,910770,226.0,2.64
Bangladesh,164354176,130170,1265.0,2.11
Russia,145922010,16376870,9.0,1.87
Mexico,128655589,1943950,66.0,1.65
Japan,126552765,364555,347.0,1.62
Ethiopia,114357494,1000000,115.0,1.47
Philippines,109280343,298170,368.0,1.41
Egypt,101930276,995450,103.0,1.31
Vietnam,97160127,310070,314.0,1.25
DR Congo,88972681,2267050,40.0,1.15
Turkey,84153250,769630,110.0,1.08
Iran,83771587,1628550,52.0,1.08
Germany,83730223,348560,240.0,1.07
Thailand,69764925,510890,137.0,0.90
United Kingdom,67814098,241930,281.0,0.87
France,65244628,547557,119.0,0.84
Italy,60479424,294140,206.0,0.78
Tanzania,59368313,885800,67.0,0.77
South Africa,59154802,1213090,49.0,0.76
Myanmar,54335948,653290,83.0,0.70
Kenya,53521116,569140,94.0,0.69
South Korea,51260395,97230,527.0,0.66
Colombia,50771878,1109500,46.0,0.65
Spain,46751175,498800,94.0,0.60
Uganda,45427637,199810,229.0,0.59
Argentina,45111229,2736690,17.0,0.58
Algeria,43685618,2381740,18.0,0.56
Sudan,43632213,1765048,25.0,0.56
Ukraine,43785122,579320,75.0,0.56
Iraq,40031626,434320,93.0,0.52
Afghanistan,38742911,652860,60.0,0.50
Poland,37854825,306230,124.0,0.49
Canada,37674770,9093510,4.0,0.48
Morocco,36820713,446300,83.0,0.47
Saudi Arabia,34701377,2149690,16.0,0.45
Uzbekistan,33368859,425400,79.0,0.43
Peru,32876986,1280000,26.0,0.42
Angola,32644783,1246700,26.0,0.42
Malaysia,32280610,328550,99.0,0.42
Mozambique,31067362,786380,40.0,0.40
Ghana,30936375,227540,137.0,0.40
Yemen,29687214,527970,56.0,0.38
Nepal,29027347,143350,203.0,0.37
Venezuela,28451828,882050,32.0,0.36
Madagascar,27539106,581795,48.0,0.36
Cameroon,26405174,472710,56.0,0.34
Côte d'Ivoire,26239250,318000,83.0,0.34
North Korea,25756088,120410,214.0,0.33
Australia,25439164,7682300,3.0,0.33
Niger,24014064,1266700,19.0,0.31
Taiwan,23808164,35410,673.0,0.31
Sri Lanka,21395196,62710,341.0,0.27
Burkina Faso,20780371,273600,76.0,0.27
Mali,20125282,1220190,17.0,0.26
Romania,19262731,230170,84.0,0.25
Malawi,19024426,94280,203.0,0.25
Chile,19082804,743532,26.0,0.25
Kazakhstan,18730568,2699700,7.0,0.24
Zambia,18273379,743390,25.0,0.24
Guatemala,17846248,107160,167.0,0.23
Ecuador,17587526,248360,71.0,0.23
Syria,17410293,183630,95.0,0.22
Netherlands,17127290,33720,508.0,0.22
Senegal,16649599,192530,87.0,0.21
Cambodia,16671185,176520,95.0,0.21
Chad,16324440,1259200,13.0,0.21
Somalia,15798020,627340,25.0,0.20
Zimbabwe,14818157,386850,38.0,0.19
Guinea,13056478,245720,53.0,0.17
Rwanda,12883878,24670,525.0,0.17
Benin,12055347,112760,108.0,0.16
Burundi,11814346,25680,463.0,0.15
Tunisia,11793319,155360,76.0,0.15
Bolivia,11640159,1083300,11.0,0.15
Belgium,11579477,30280,383.0,0.15
Haiti,11373955,27560,414.0,0.15
Cuba,11327988,106440,106.0,0.15
South Sudan,11166783,610952,18.0,0.14
Dominican Republic,10825682,48320,225.0,0.14
Czech Republic (Czechia),10705012,77240,139.0,0.14
Greece,10433037,128900,81.0,0.13
Jordan,10182442,88780,115.0,0.13
Portugal,10202571,91590,111.0,0.13
Azerbaijan,10120555,82658,123.0,0.13
Sweden,10086531,410340,25.0,0.13
Honduras,9871892,111890,89.0,0.13
United Arab Emirates,9865845,83600,118.0,0.13
Hungary,9665192,90530,107.0,0.12
Tajikistan,9492342,139960,68.0,0.12
Belarus,9449940,202910,47.0,0.12
Austria,8996022,82409,109.0,0.12
Papua New Guinea,8911530,452860,20.0,0.11
Serbia,8744288,87460,100.0,0.11
Israel,8627444,21640,400.0,0.11
Switzerland,8641786,39516,219.0,0.11
Togo,8237580,54390,152.0,0.11
Sierra Leone,7942879,72180,111.0,0.10
Hong Kong,7484618,1050,7140.0,0.10
Laos,7253719,230800,32.0,0.09
Paraguay,7114524,397300,18.0,0.09
Bulgaria,6958627,108560,64.0,0.09
Libya,6852010,1759540,4.0,0.09
Lebanon,6831445,10230,667.0,0.09
Nicaragua,6608366,120340,55.0,0.08
Kyrgyzstan,6501804,191800,34.0,0.08
El Salvador,6479609,20720,313.0,0.08
Turkmenistan,6012850,469930,13.0,0.08
Singapore,5840996,700,8358.0,0.08
Denmark,5788108,42430,137.0,0.07
Finland,5539002,303890,18.0,0.07
Congo,5489191,341500,16.0,0.07
Slovakia,5459116,48088,114.0,0.07
Norway,5412632,365268,15.0,0.07
Oman,5078933,309500,16.0,0.07
State of Palestine,5076280,6020,847.0,0.07
Costa Rica,5084636,51060,100.0,0.07
Liberia,5032469,96320,53.0,0.06
Ireland,4926480,68890,72.0,0.06
Central African Republic,4812256,622980,8.0,0.06
New Zealand,4814272,263310,18.0,0.06
Mauritania,4623535,1030700,5.0,0.06
Panama,4300667,74340,58.0,0.06
Kuwait,4257495,17820,240.0,0.05
Croatia,4110214,55960,73.0,0.05
Moldova,4035814,32850,123.0,0.05
Georgia,3990681,69490,57.0,0.05
Eritrea,3536285,101000,35.0,0.05
Uruguay,3471314,175020,20.0,0.04
Bosnia and Herzegovina,3284806,51000,64.0,0.04
Mongolia,3267320,1553560,2.0,0.04
Armenia,2962137,28470,104.0,0.04
Jamaica,2958567,10830,273.0,0.04
Qatar,2870922,11610,248.0,0.04
Albania,2878420,27400,105.0,0.04
Puerto Rico,2874636,8870,323.0,0.04
Lithuania,2729553,62674,43.0,0.03
Namibia,2531290,823290,3.0,0.03
Gambia,2402083,10120,239.0,0.03
Botswana,2341649,566730,4.0,0.03
Gabon,2214593,257670,9.0,0.03
Lesotho,2138799,30360,71.0,0.03
North Macedonia,2083391,25220,83.0,0.03
Slovenia,2078881,20140,103.0,0.03
Guinea-Bissau,1958132,28120,70.0,0.03
Latvia,1890218,62200,30.0,0.02
Bahrain,1688629,760,2239.0,0.02
Equatorial Guinea,1392950,28050,50.0,0.02
Trinidad and Tobago,1398579,5130,273.0,0.02
Estonia,1326357,42390,31.0,0.02
Timor-Leste,1313184,14870,89.0,0.02
Mauritius,1271347,2030,626.0,0.02
Cyprus,1205577,9240,131.0,0.02
Eswatini,1157707,17200,67.0,0.01
Djibouti,985027,23180,43.0,0.01
Fiji,895128,18270,49.0,0.01
Réunion,894017,2500,358.0,0.01
Comoros,865696,1861,467.0,0.01
