Country,Population,Land_Area,Pop_Density,Percent_World_Pop,GDP_in_millions
China,1438207241,9388211,153.0,18.47,14279937.467431
India,1377233523,2973190,464.0,17.7,2868929.41561702
United States,330610570,9147420,36.0,4.25,21433226.0
Indonesia,272931713,1811570,151.0,3.51,1119190.7807528
Pakistan,219992900,770880,287.0,2.83,278221.906022841
Brazil,212253150,8358140,25.0,2.73,1839758.04076562
Nigeria,205052107,910770,226.0,2.64,448120.428858769
Bangladesh,164354176,130170,1265.0,2.11,302571.254131135
Russia,145922010,16376870,9.0,1.87,1700000.0
Mexico,128655589,1943950,66.0,1.65,1268870.52716003
Japan,126552765,364555,347.0,1.62,5081769.5423797695
Ethiopia,114357494,1000000,115.0,1.47,95912.59062814119
Philippines,109280343,298170,368.0,1.41,376795.508678853
Egypt,101930276,995450,103.0,1.31,303100.0
Vietnam,97160127,310070,314.0,1.25,261921.244843172
Turkey,84153250,769630,110.0,1.08,761425.499358159
Germany,83730223,348560,240.0,1.07,3861123.55803921
Thailand,69764925,510890,137.0,0.9,543548.969968693
United Kingdom,67814098,241930,281.0,0.87,2829108.2191658
France,65244628,547557,119.0,0.84,2715518.27422745
Italy,60479424,294140,206.0,0.78,2003576.14549804
Tanzania,59368313,885800,67.0,0.77,63177.06817454901
South Africa,59154802,1213090,49.0,0.76,351431.6492414389
Myanmar,54335948,653290,83.0,0.7,76085.8526171371
Kenya,53521116,569140,94.0,0.69,95503.088538092
South Korea,51260395,97230,527.0,0.66,1647000.0
Colombia,50771878,1109500,46.0,0.65,323615.979418651
Spain,46751175,498800,94.0,0.6,1393490.52451764
Uganda,45427637,199810,229.0,0.59,35165.1570169125
Argentina,45111229,2736690,17.0,0.58,445445.1774594261
Algeria,43685618,2381740,18.0,0.56,171091.289782245
Sudan,43632213,1765048,25.0,0.56,30513.4560847961
Ukraine,43785122,579320,75.0,0.56,153781.069118148
Iraq,40031626,434320,93.0,0.52,234094.042938917
Afghanistan,38742911,652860,60.0,0.5,19291.104007829894
Poland,37854825,306230,124.0,0.49,595858.2070115121
Canada,37674770,9093510,4.0,0.48,1736425.62951996
Morocco,36820713,446300,83.0,0.47,119700.325461938
Saudi Arabia,34701377,2149690,16.0,0.45,792966.8381616591
Uzbekistan,33368859,425400,79.0,0.43,57921.286440349504
Peru,32876986,1280000,26.0,0.42,226848.050819525
Angola,32644783,1246700,26.0,0.42,88815.69779330301
Malaysia,32280610,328550,99.0,0.42,364681.367531684
Mozambique,31067362,786380,40.0,0.4,15291.448211603001
Ghana,30936375,227540,137.0,0.4,66983.634223943
Nepal,29027347,143350,203.0,0.37,30641.380603969897
Venezuela,28451828,882050,32.0,0.36,482400.0
Madagascar,27539106,581795,48.0,0.36,14114.6312806774
Cameroon,26405174,472710,56.0,0.34,39007.3543592798
Australia,25439164,7682300,3.0,0.33,1396567.01473323
Niger,24014064,1266700,19.0,0.31,12911.689659351001
Taiwan,23808164,35410,673.0,0.31,668510.0
Sri Lanka,21395196,62710,341.0,0.27,84008.78375606799
Burkina Faso,20780371,273600,76.0,0.27,15990.803569996102
Mali,20125282,1220190,17.0,0.26,17279.5667186087
Romania,19262731,230170,84.0,0.25,250077.444017084
Malawi,19024426,94280,203.0,0.25,7666.704427009149
Chile,19082804,743532,26.0,0.25,282318.15974465
Kazakhstan,18730568,2699700,7.0,0.24,181665.908556499
Zambia,18273379,743390,25.0,0.24,23309.7739227582
Guatemala,17846248,107160,167.0,0.23,76710.3553470968
Ecuador,17587526,248360,71.0,0.23,107435.665
Netherlands,17127290,33720,508.0,0.22,907050.863145097
Senegal,16649599,192530,87.0,0.21,23578.084052014703
Cambodia,16671185,176520,95.0,0.21,27089.389786978998
Chad,16324440,1259200,13.0,0.21,11314.951342780701
Zimbabwe,14818157,386850,38.0,0.19,21440.7588
Guinea,13056478,245720,53.0,0.17,12296.665331192
Rwanda,12883878,24670,525.0,0.17,10354.417725155501
Benin,12055347,112760,108.0,0.16,14390.7090949386
Burundi,11814346,25680,463.0,0.15,3012.3348816405696
Tunisia,11793319,155360,76.0,0.15,38796.687568157
Bolivia,11640159,1083300,11.0,0.15,40895.3228437851
Belgium,11579477,30280,383.0,0.15,533097.455834509
Haiti,11373955,27560,414.0,0.15,14332.1632663977
Dominican Republic,10825682,48320,225.0,0.14,88941.2997342073
Greece,10433037,128900,81.0,0.13,209852.761132839
Jordan,10182442,88780,115.0,0.13,44502.895861683704
Portugal,10202571,91590,111.0,0.13,238785.085030988
Azerbaijan,10120555,82658,123.0,0.13,48047.647058823495
Sweden,10086531,410340,25.0,0.13,530883.869004977
Honduras,9871892,111890,89.0,0.13,25095.395475039302
United Arab Emirates,9865845,83600,118.0,0.13,421142.26793765
Hungary,9665192,90530,107.0,0.12,163469.04286795598
Tajikistan,9492342,139960,68.0,0.12,8116.62679425837
Belarus,9449940,202910,47.0,0.12,63080.457022659895
Austria,8996022,82409,109.0,0.12,445075.391688156
Papua New Guinea,8911530,452860,20.0,0.11,24829.107011070097
Serbia,8744288,87460,100.0,0.11,51475.016532129295
Israel,8627444,21640,400.0,0.11,394652.21029584896
Switzerland,8641786,39516,219.0,0.11,703082.435158864
Togo,8237580,54390,152.0,0.11,5490.272413387021
Sierra Leone,7942879,72180,111.0,0.1,4121.73370529165
Hong Kong,7484618,1050,7140.0,0.1,365700.0
Paraguay,7114524,397300,18.0,0.09,38145.2889398488
Bulgaria,6958627,108560,64.0,0.09,68558.8151116199
Libya,6852010,1759540,4.0,0.09,52091.1522283425
Lebanon,6831445,10230,667.0,0.09,51991.634491634504
Nicaragua,6608366,120340,55.0,0.08,12520.9152911837
El Salvador,6479609,20720,313.0,0.08,27022.64
Singapore,5840996,700,8358.0,0.08,372062.52748863795
Denmark,5788108,42430,137.0,0.07,350104.32765867497
Finland,5539002,303890,18.0,0.07,269296.310180392
Slovakia,5459116,48088,114.0,0.07,105100.0
Norway,5412632,365268,15.0,0.07,403336.363636364
